Arabic,English,Dutch
سِمة; سِمات,"feature, characteristic; stamp, imprint","kenmerk, eigenschap; stempel, afdruk"
تَعْقيد,"complication, complexity","complicatie, complexiteit"
مِلعَقة، مَلاعِق,spoon,lepel
أذىً,"damage, harm; injury; offense","schade, letsel; verwonding; overtreding"
ليرة; ليرات,"pound, lira (Leb. and Syria)","pond, lira (Libanon en Syrië)"
فَرعيّ,"(adjective) branch, secondary, subdivision","(bijvoeglijk naamwoord) tak, secundaire, onderverdeling"
صانِع، صُنّاع,"manufacturer, producer; maker","fabrikant, producent; maker"
ثَلْج,snow; ice,sneeuw; ijs
عَصاً,"stick, baton, rod","stok, baton, roed"
تَنظيميّ,"organizational, planning; controlling, regulatory","organisatorisch, planning; controlerend, regulerend"
تَقَرَّرَ,"to be decided, be resolved","nog te beslissen, nog op te lossen"
طَرْد,"expulsion; dismissal, firing; parcel, package","uitzetting; ontslag, wegsturen; pakket, pak"
باكِر,early,vroeg
باكِراً,early (adv),vroeg (bijwoord)
أدانَ,"to condemn, denounce, censure, disapprove of something/somebody","iets/iemand veroordelen, afkeuren, bekritiseren of ergens afkeurend over zijn/haar mening uiten"
ضانِع,lost; stray; wasted (time),verloren; verdwaald; verspilde (tijd)
قُماش، أقمِشة,"fabric, cloth","stof, textiel"
ساخِر,satirical; ridiculing,satirisch; bespotten
وَعى، يَعي، الوَعي,"to be aware of, pay attention to something","zich bewust zijn van, aandacht besteden aan iets"
شَكَّ، يَشُكُّ، الشَّكّ,"to doubt, distrust في something/somebody","twijfelen, wantrouwen jegens iets/iemand"
مَعدِنيّ,"mineral, metal, metallic","mineraal, metaal, metaalachtig"
اِنعِقاد,"convening, holding (meeting)","bijeenroepen, houden (vergadering)"
مُتَبَقٍّ/امُتَبَقّي,"remaining, left over; remainder, rest","overgebleven, restant; restant, rest"
وِرْديّ,"rose-colored, rosy, pink","roze, rozeachtig, roze"
كَثافة,"thickness, density; compactness; intensity","dikte, dichtheid; compactheid; intensiteit"
تَشخيص,"diagnosis, analysis; characterization","diagnose, analyse; karakterisering"
خارِطة,"map, chart","kaart, plattegrond"
مِصداقيّة,credibility,geloofwaardigheid
جَرَحَ، يَجرَحُ، الجَرْح,"to wound, injure somebody","iemand verwonden, iemand letsel toebrengen"
جُرِحَ,"to be wounded, be injured","gewond raken, gewond raken"
رافِض,"rejecting, refusing","afwijzen, weigeren"
مُلَوَّن,"colored, multi-colored","gekleurd, veelkleurig"
حِراسة,"guard, escort, protection","bewaker, escorte, bescherming"
مَنشود,"pursued, desired, sought; goal, objective","nagestreefd, gewenst, gezocht; doel, objectief"
خَفِيَ، يَخفى، الخَفاء,to be hidden,verborgen te worden
لا يَخفى,it’s obvious,Het is duidelijk.
لا يَخفى على أحَدٍ أنّ,as everyone knows...,zoals iedereen weet...
لا يَخفى عَلَيْكَ أنّ,you are well aware of the fact that,Je bent je er terdege van bewust dat
ضَبَطَ، يَضبِطُ، الضَّبْط,"to regulate, control; to adjust, fix","reguleren, controleren; aanpassen, corrigeren"
اِعتادَ,"to become accustomed على to something, to get used على to something","ergens aan wennen, ergens aan gewend raken"
صَدارة,chairmanship; precedence,voorzitterschap; voorrang
نَاقِد، نُقّاد,critic,criticus
تَضحية; تَضحيات,sacrifice,offer
مَطاف,"consequence, upshot","gevolg, uitkomst"
في نِهاية المَطاف,"in the end, finally","uiteindelijk, definitief"
جَماهيريّ,"(adjective) mass, throng; (of the) masses","(bijvoeglijk naamwoord) massa, menigte; (van de) massa's"
خَصيصة، خَصائِص,"attribute, characteristic, feature, trait; peculiarity","eigenschap, kenmerk, eigenschap, trek; bijzonderheid"
تَدَفُّق,"flow, stream, flood; influx, invasion","stroom, beek, vloed; toestroom, invasie"
بَحيرة,lake,meer
حَماس,"enthusiasm, eagerness, zeal; fortitude, bravery","enthousiasme, gretigheid, ijver; standvastigheid, moed"
مِنحة,"gift, donation; grant, scholarship","gift, donatie; beurs, studiebeurs"
حَصَلَ، يَحصُلُ، الحُصول,"to happen, take place","gebeuren, plaatsvinden"
رُمّة,entirety,geheel
بِرُمَّتِهِ/ها,"completely, all of it/them","volledig, alles ervan/alles"
وَطَنيّة,"nationalism, patriotism","nationalisme, patriottisme"
تَمَيُّز,"standing out, distinguishing oneself; distinction, excellence","opvallen, zich onderscheiden; onderscheid, uitmuntendheid"
اِقتِراع,"balloting, voting, election","stemmen, verkiezing"
طاهِر,"clean, pure; flawless, perfect; chaste","schoon, puur; vlekkeloos, perfect; kuis"
على وَشْكِ,"on the verge of, just about to","op het punt van, net op het punt om"
جَنين,"fetus, embryo; germ","foetus, embryo; kiem"
تُربة,"dust, ground, dirt; grave, graveyard","stof, grond, vuil; graf, kerkhof"
شَبيه,"(adjective) resembling, similar to","(bijvoeglijk naamwoord) gelijkend op, vergelijkbaar met"
مَسَحَ، يَمسَحُ، المَسْح,"to rub, wipe something; to wipe, sweep, clean something; to survey, measure something","iets wrijven, afvegen; iets afvegen, vegen, schoonmaken; iets opmeten, inmeten"
عَيِّنة; عَيِّنات,"sample, specimen","monster, exemplaar"
عُقْب، أعقاب,consequence,gevolg
في أعقاب,immediately after,onmiddellijk daarna
جَفاف,"dryness, drought; dehydration, desiccation","droogte, uitdroging; dehydratie, verdroging"
تَقويم,"rating, valuation; calendar","beoordeling, waardebepaling; kalender"
رَصْد,"observation; survey; following, tracking, monitoring","observatie; onderzoek; volgen, traceren, monitoren"
تَشَرَّفَ,"to be honored, be happy (على to meet somebody)","vereerd worden, blij zijn (على iemand ontmoeten)"
وَحْشيّ,"brutal, savage","brutaal, wreed"
نَفَقة; نَفَقات,"expenditure, disbursement","uitgaven, uitbetalingen"
نَفَقات,spending,uitgaven
اِمتِلاك,possession; control; seizure,bezit; controle; inbeslagname
غَيْر مَسبوق,unprecedented,ongeëvenaard
نامٍ/النّامي,developing (country),ontwikkelingsland
تَلَقِّي,"receiving, receipt; acquisition","ontvangst, verwerving"
لُغَويّ,"(adjective) language, linguistic; linguist","(bijvoeglijk naamwoord) taal, taalkundig; taalkundige"
كِبْر,"pride, arrogance; greatness","trots, arrogantie; grootsheid"
تَذكَرة، تَذاكِر,"ticket, card","ticket, kaart"
اِستِماع,listening (إلى to),luisteren (إلى naar)
لَمَسَ، يَلمُسُ، اللَّمْس,"to touch, feel, sense something","iets aanraken, voelen, waarnemen"
اِنخَفَضَ,"to drop, fall, decrease; to be lowered, decreased, reduced","dalen, afnemen, verminderen; verlaagd, verminderd worden"
مَشَدِّد,"stressing, emphasizing; strengthening, intensifying","benadrukken, accentueren; versterken, intensiveren"
نَصَحَ، يَنصَحُ، النَّصْح,"to advise, counsel somebody (ب to do something)","iemand adviseren, raad geven (iets doen)"
مَرحوم,"deceased, late","overleden, laat"
اِنفِتاح,"opening up, welcoming; openness; receptiveness; open-door (policy)","openheid, gastvrijheid; ontvankelijkheid; open-deurbeleid"
إنفاَوَنزا,"influenza, flu","griep, griep"
عَيَّنَ,"to appoint, designated somebody as something; to determine, define something","iemand aanstellen, aanwijzen als iets; iets bepalen, definiëren"
مُحَرَّم,forbidden,verboden
مُحَرَّمات,"forbidden things, taboos","verboden dingen, taboes"
حُرمة,"sanctity, inviolability; taboo, prohibition; married woman, wife","heiligheid, onschendbaarheid; taboe, verbod; getrouwde vrouw, echtgenote"
تَجهيز; تَجهيزات,"preparing, putting in order; equipment, gear","voorbereiden, in orde brengen; uitrusting, gereedschap"
نُكتة,joke,grap
مُهلة,"extension, deferment; postponement, delay; break, respite; reprieve","verlenging, uitstel; opschorting, vertraging; pauze, respijt; uitstel"
فاهِم,"understanding, comprehending","begrip, bevatten"
اِنضَمَّ,"to join, become part إلى of something","zich aansluiten, deel gaan uitmaken van iets"
جافّ,dry,droog
نَزيف,"bleeding, hemorrhage","bloeding, hemorragie"
عارَضَ,"to oppose, resist something/somebody","zich verzetten tegen, weerstand bieden aan iets/iemand"
تَهْيِئة,"preparation, arrangement","voorbereiding, regeling"
اِستِعراض,"review, inspection; tour, parade","beoordeling, inspectie; rondleiding, parade"
أقسَمَ,"to swear يَميناً an oath, swear ب by","zweren يَميناً een eed, zweren ب bij"
مِنَصّة,"platform, podium","platform, podium"
مُوَفَّق,successful; fortunate,succesvol; gelukkig
تَظاهِرة,"rally, demonstration","bijeenkomst, demonstratie"
عَناء,"hardship, trouble; distress, preoccupation","ontbering, problemen; leed, bezorgdheid"
إظهار,"expressing, showing, demonstrating","uitdrukken, tonen, demonstreren"
أعلَم,more/most knowledgeable,meer/meest deskundig
بَرَّرَ,"to justify, warrant something; to vindicate, acquit something/somebody","iets rechtvaardigen, iets bekrachtigen; iets/iemand vrijspreken, iemand onschuldig verklaren"
سَدّ,bridging (a gap); defrayal (of costs); paying off (a debt),een kloof overbruggen; dekken (van kosten); een schuld aflossen
بَلاء,"affliction, misfortune; tribulation","ellende, tegenspoed; beproeving"
وَظيفيّ,"functional; practical; work-related, employment-related","functioneel; praktisch; werkgerelateerd, arbeidsgerelateerd"
مُواطَنة,citizenship,burgerschap
مَلموس,"noticeable, substantial; tangible, concrete","opvallend, substantieel; tastbaar, concreet"
تَحَسُّن,improvement,verbetering
اِستِشهاد,martyrdom,martelaarschap
أبلَغَ,"to inform, notify somebody أنّ that; to report ب something or أنّ that","informeren, op de hoogte stellen أنّ dat; om dat te melden"
تَرويج,"distribution; promotion, marketing","distributie; promotie, marketing"
تَعاطٍ/التَّعاطي,"taking (medicine, drugs); treating, handling (على a problem)","het innemen van (medicijnen, geneesmiddelen); het behandelen, aanpakken van (een probleem)"
تَعارَضَ,"to clash, conflict, be at odds مع/و with something","botsen, in conflict komen, in tegenspraak zijn met iets"
تَبَرُّع; تَبَرُّعات,"donation, contribution","donatie, bijdrage"
هُدنة,"truce, armistice; calm, lull","wapenstilstand, vrede; rust, kalmte"
مَوْضوعيّ,objective,objectief
جِنّ,demon; jinn; genie,demon; djinn; geest
مُتَأكِّد,"certain, sure convinced (من of)","zeker, overtuigd (من van)"
اِختَتَمَ,"to conclude, finalize, wind up (an activity)","om een ​​activiteit af te ronden, te voltooien, te beëindigen"
تَصنيع,"manufacture, industrialization, processing","fabricage, industrialisatie, verwerking"
تَحَرُّر,"(self) liberation, emancipation","(zelf)bevrijding, emancipatie"
دِرع,"shield, armor; plaque (award)","schild, harnas; plaquette (onderscheiding)"
شَنَّ، يَشُنُّ، الشَّنّ,"to wage, launch something (war, campaign)","een oorlog beginnen, een campagne starten"
قَلِق,"worried, concerned, uneasy","bezorgd, ongerust, onrustig"
راديو,radio,radio
مَعِدة,stomach,maag
نَعَمَ، يَنعَمُ، النَّعمة,to live in comfort; to enjoy ب something,comfortabel leven; ergens van genieten
حِقبة,"era, age, time period","tijdperk, periode, tijdperk"
إدراك,"realization, awareness, comprehension; attainment","inzicht, bewustwording, begrip; bereiken"
فَجوة,"(mostly figurative) gap, gulf, breach","(meestal figuurlijk) kloof, afgrond, breuk"
خالَفَ,"to contradict something/somebody; to conflict with, go against something; to violate (the law)","Iets/iemand tegenspreken; ergens mee in conflict komen, ergens tegenin gaan; (de wet) overtreden."
تَرَتّبَ,to derive or result على from; to carry the consequence على of,voortkomen uit of het resultaat zijn van; het gevolg hebben van
أرضى,"to satisfy, please somebody","om tevreden te stellen, alstublieft iemand"
حِذاء,"shoe, pair of shoes","schoen, paar schoenen"
اِستَوْعَبَ,"to comprehend, grasp, master something; to contain, absorb, assimilate something","Iets begrijpen, bevatten, beheersen; iets bevatten, absorberen, assimileren."
واحة,oasis,oase
مَنفَذ، مَنافِذ,"exit, way out; escape, resort; gateway; port (computer)","uitgang, uitweg; ontsnapping, toevluchtsoord; toegangspoort; poort (computer)"
طاغٍ/الطّاغي، طُغاة,"tyrant, desopt, oppressor; tyrannical, oppressive (person, regime, weather)","tiran, verdorven persoon, onderdrukker; tiranniek, onderdrukkend (persoon, regime, weer)"
شِريان، شَرايين,artery,slagader
ألبوم,album (music CD),album (muziek-cd)
مِلء,filling; capacity; quantity,vulling; capaciteit; hoeveelheid
"تَدبير, تَدابير","managing, arranging, preparing; arrangement, preparation","beheren, regelen, voorbereiden; regeling, voorbereiding"
كافِر، كُفّار,"kafir (person who rejects the Islamic faith), infidel, unbeliever, apostate","kafir (iemand die het islamitische geloof verwerpt), ongelovige, afvallige"
تَرخيص,"license, permission","licentie, toestemming"
مَلَل,boredom,verveling
عِلاوة,"increase, raise; bonus; allowance, subsidy","verhoging, loonsverhoging; bonus; toeslag, subsidie"
شُجاع,brave,moedig
سَدَّدَ,"to obstruct, block (way); to settle/pay off (debt); to aim, shoot (bullet, ball)","belemmeren, blokkeren (van een weg); een schuld afbetalen; richten, schieten (met een kogel, bal)"
هَدى، يَهدي، الهَدْي,"to lead, guide, direct somebody (إلى to); to show somebody (the way)","iemand leiden, begeleiden, richting geven (إلى naar); iemand de weg wijzen"
طَيْف، أطياف,"spectrum (light); ghost, apparition, phantom; vision, fantasy","spectrum (licht); geest, verschijning, fantoom; visioen, fantasie"
مُفاد,"meaning, content","betekenis, inhoud"
مُفادُهُ/ها,"to the effect that, implying that","met de strekking dat, wat impliceert dat"
خالِق,"creator; creating, creative","schepper; creërend, creatief"
لَحْن,"melody, music, song; tone","melodie, muziek, lied; toon"
مُريح,"comfortable, pleasant; soothing, restful","comfortabel, aangenaam; rustgevend, ontspannend"
خام,"raw, unprocessed; crude (oil)","rauw, onbewerkt; ruwe olie"
مُؤَدٍّ/المُؤَدّي,"leading إلى to; resulting in, causing إلى something","leidend إلى naar; resulterend in, waardoor إلى iets"
شَمعة، شُموع,candle,kaars
تَشَكَّلَ,"to be formed, be composed","gevormd worden, samengesteld worden"
مِراج,"mixture; temperament; mood, feeling","mengsel; temperament; stemming, gevoel"
إسعاف,"first aid, medical service","eerste hulp, medische dienstverlening"
سَيّارة إسعاف,ambulance,ambulance
رَقَميّ,numerical; digital,numeriek; digitaal
هيه,uh-huh; huh?,Aha; hè?
شَقيقة,sister,zus
دِفء,"heat, warmth","warmte, hitte"
يونانيّ,Greek,Grieks
ثَبات,"proof, corroboration; constancy, firmness","bewijs, bevestiging; standvastigheid, vastberadenheid"
تَزوير,"forgery; falsification (documents, the truth); counterfeiting","vervalsing; vervalsing (van documenten, de waarheid); namaak"
عِبْريّ,Hebrew,Hebreeuws
العِبريّة,Hebrew (language),Hebreeuws (taal)
الدَّوْلة العِبريّة,the Jewish state (Israel),de Joodse staat (Israël)
صِغَر,"smallness; youth, infancy","kleinheid; jeugd, kindertijd"
نَفَق، أنفاق,"tunnel; underpass, subway","tunnel; onderdoorgang, metro"
مُتَّفَق عَلَيْهِ/ها,agreed upon,overeengekomen
قَدوة,"example, role model; pattern","voorbeeld, rolmodel; patroon"
موديل; موديلات,"model, pattern","model, patroon"
وَطأة,"pressure, gravity; harshness, cruelty","druk, zwaartekracht; hardheid, wreedheid"
جَهَنَّم,hell; Hell,hel; hel
خَتَمَ، يَختِمُ، الخَتْم,"to complete, conclude something; to stamp, seal something","iets voltooien, afronden; iets stempelen, verzegelen"
مُستَفيد,"benefiting, profiting (من from); beneficiary","profijt trekken van, voordeel behalen uit; begunstigde"
وَباء,"epidemic, disease; scourge","epidemie, ziekte; plaag"
اِرتِقاء,"rise, ascent; advancement, promotion; progress; evolution","opkomst, stijging; vooruitgang, promotie; ontwikkeling; evolutie"
اِتِّباع,"pursuing, following, compliance","nastreven, volgen, naleving"
سُكون,"tranquility, quietude, calm; rest, repose","rust, stilte, kalmte; ontspanning, tot rust komen"
شَنّ,"waging, launching (a war, campaign)","het voeren, het beginnen van (een oorlog, een campagne)"
تَثبيت,confirmation; stabilization,bevestiging; stabilisatie
زَرْع,"planting (seed); implanting, transplanting (organ); setting (bomb), laying (mines); growing (plants, crops); cultivating, farming (land)","zaaien (zaad); implanteren, verplanten (orgaan); plaatsen (bom), leggen (mijnen); kweken (planten, gewassen); bewerken, landbouwen (land)"
قَلعة,"stronghold, citadel, fort","vesting, citadel, fort"
جاهِد,"strenuous, vigorous; striving, endeavoring","inspannend, krachtig; strevend, zich inspannend"
مَتْن,deck (ship),dek (schip)
على مَتْن,"on board (ship, airplane); surface; main text, content (book, article, poem); lexicon (language); body (person, object)","aan boord (schip, vliegtuig); oppervlak; hoofdtekst, inhoud (boek, artikel, gedicht); lexicon (taal); lichaam (persoon, object)"
مُتَحَرِّك,"moving, mobile","bewegend, mobiel"
مُقَوِّم; مُقَوِّمات,"component, ingredient; basic element","bestanddeel, ingrediënt; basiselement"
وَهميّ,"imagined, imaginary; fake, bogus","ingebeeld, denkbeeldig; nep, onecht"
مُعلِن,"announcer; advertiser; announcing, signaling","omroeper; adverteerder; aankondigen, signaleren"
دونَما,"without any, without even","zonder enige, zonder zelfs"
عَدوى,infection,infectie
مُبالَغة,exaggeration,overdrijving
عاقِبة، عَواقِب,"consequence, result, effect","gevolg, resultaat, effect"
بَياض,"white, whiteness","wit, witheid"
ضَمِنَ، يَضمَنُ، الضَّمان,"to guarantee, insure","garanderen, verzekeren"
مُنتَهىً,"(noun) utmost, extreme","(zelfstandig naamwoord) uiterste, extreem"
حُمّى,fever; heat,koorts; hitte
مَرّ,"(noun) passing, course (of time); going by","(zelfstandig naamwoord) verloop, tijdsverloop; voorbijgaan"
قاوَمَ,"to resist, oppose something","weerstand bieden, zich ergens tegen verzetten"
اِئْتِلاف,"coalition, union","coalitie, unie"
مارّ، مارّة,"pedestrian, passerby","voetganger, voorbijganger"
كيميائيّ,chemical,chemische
حَداثة,"modernity, newness, novelty","moderniteit, nieuwigheid, originaliteit"
إيدز,AIDS,AIDS
ناخِب,"voter, elector","kiezer, kiesman"
اِستِناد,dependance,afhankelijkheid
اِستِناداً على,"on the basis of, according to","op basis van, volgens"
مُجمَل,"total, full amount; summary","totaal, volledig bedrag; samenvatting"
اِحتِفاظ,"safeguarding, preservation","bescherming, behoud"
عارٍ/عاري,"naked, bare","naakt, bloot"
سَيْل,"streaming, flowing","stromend, vloeiend"
مَفقود,"lost, missing; missing","verloren, vermist; vermist"
تَفاؤُل,optimism,optimisme
ذَريّ,atomic,atomisch
بَرازيليّ,Brazilian,Braziliaans
عَتيق,"old, aged","oud, bejaard"
مُفرَدة; مُفرَدات,"word, term, expression","woord, term, uitdrukking"
مُفرَدات,vocabulary,vocabulaire
كوريّ,Korean,Koreaans
تَعميم,"making general or public (education, announcement); spreading, disseminating, popularizing","Het algemeen of openbaar maken van (onderwijs, aankondiging); het verspreiden, bekendmaken, populariseren."
شائِعة; شائِعات,rumor,gerucht
طاقِم,"crew, staff, team","bemanning, personeel, team"
ثابِتة، ثَوابِت,"principle, rule","principe, regel"
ثَوابِت,"established norms, guiding principles","vastgestelde normen, leidende principes"
تَشاوُر,"deliberation, joint consultation","beraadslaging, gezamenlijke raadpleging"
عَقَليّة,"mentality, attitude, way of thinking","mentaliteit, houding, manier van denken"
صَرخة,"shout, scream","geschreeuw, gegil"
وافِد,"arriving, coming, visiting; foreign, imported; visitor, newcomer; envoy, delegate","aankomend, komend, bezoekend; buitenlands, geïmporteerd; bezoeker, nieuwkomer; gezant, afgevaardigde"
لَبِثَ، يَليَثُ، اللَّبث,"to stay, linger","blijven, treuzelen"
ما لَبِثَ أنْ/لم يَلبَثْ أنْ,it wasn’t long before,het duurde niet lang voordat
سَراب,"mirage, illusion","luchtspiegeling, illusie"
لاتينيّ,Latin,Latijns
شَقّ,"splitting, opening; crack, gap","splijten, openen; scheur, kloof"
مُسانَدة,"support, aid, assistance","steun, hulp, bijstand"
شُكَّريّ,diabetes,diabetes
عُقدة، عُقَد,"complex (emotion, feeling); knot (nautical)","complex (emotie, gevoel); knoop (nautisch)"
مُفَخَّخ,booby-trapped,valstrikken
سَيّارة مُفَخَّخة,car bomb,autobom
بَشِع,"ugly, horrible, disgusting","lelijk, afschuwelijk, walgelijk"
تَعطيل,"hindering, obstructing; derailing; interrupting","hinderen, belemmeren; ontsporen; onderbreken"
مُحتَوَيات,content,inhoud
إبّان,time,tijd
إبّانَ,during,tijdens
عَفَرَ، يَعفَرُ، العَفَر,"to pardon, forgive ل somebody something","iemand iets vergeven, iemand iets vergeven"
زالَ، يَزولُ، الزَّوْل,"to disappear, vanish","verdwijnen, vervliegen"
أينَما,wherever,waar dan ook
إجماع,consensus,overeenstemming
بِالإجماع,unanimously,unaniem
تَنَفُّس,"breathing, respiration; breath","ademhaling, respiratie; adem"
هَدْم,"demolition, destruction; leveling, razing","sloop, vernietiging; nivellering, sloop"
قَفْص,cage; prisoner’s dock,kooi; beklaagdenbank
جَسَّدَ,"to embody, personify something; to put something into concrete form","iets belichamen, personifiëren; iets concreet vormgeven"
خِزانة,"treasury; vault, safe","schatkamer; kluis, brandkast"
خِزانة كُتُب,bookcase,boekenkast
شَبَح,"ghost, specter","geest, spook"
يَقظة,wakefulness; alertness,waakzaamheid; alertheid
حَرِج,"delicate, sensitive; awkward","delicaat, gevoelig; onhandig"
باطِن,"inner, interior; hidden; inner part, inside","innerlijk, interieur; verborgen; binnenste deel, binnenkant"
رُخصة، رُخَص,"license, permit","vergunning, toestemming"
عالِق,"pending, outstanding (issues); related, connected, relevant; caught, stranded","in behandeling, openstaande (kwesties); gerelateerd, verbonden, relevant; vastgelopen, gestrand"
جَسَديّ,"corporeal, physical, bodily; sensual","lichamelijk, fysiek, lichaamsgericht; sensueel"
اِشتَدَّ,"to intensify, grow more intense","intensiveren, intenser worden"
مَعنَويّ,"moral, spiritual, mental; semantic","moreel, spiritueel, mentaal; semantisch"
مُزمِن,"enduring, chronic","langdurig, chronisch"
غازٍ/الغازي، غُزاة,"invading, raider","binnenvallend, overvaller"
فِطْر,fitr (end of the Ramadan fast),Fitr (einde van de Ramadan-vasten)
عَيْد الفِطْر,Eid al-Fitr (festival of the breaking of the Ramandan fast),Eid al-Fitr (het feest ter ere van het verbreken van de Ramadan-vasten)
فارِسيّ، فُرْس,Persian,Perzisch
عَلَن,(the) open,(de) open
في العَلَن/عَلَناً,"openly, publicly","openlijk, publiekelijk"
اِنطَوى,"to contain, include على something","iets bevatten, omvatten على iets"
اِنطَوى على نَفسِهِ,to isolate oneself; to be introverted,Zich isoleren; introvert zijn
اِنقِسام,"fragmentation, schism; disruption","fragmentatie, scheuring; verstoring"
كَنْز، كُنوز,treasure,schat
مُعادٍ/المُعادي,"(adjective) hostile, anti-","(bijvoeglijk naamwoord) vijandig, anti-"
مُتعَب,"tired, weary","moe, uitgeput"
راعى,"to heed, observe something; to respect, show consideration for something","aandacht besteden aan, observeren van iets; respect tonen voor, rekening houden met iets"
جُزْئيّ,"partial, incomplete","gedeeltelijk, onvolledig"
جُزئيّاً,"partially, in part","gedeeltelijk, deels"
خَليط,"mixture, blend","mengsel, mix"
جانٍ/الجاني، جُناة,"delinquent, criminal","delinquent, crimineel"
فَقيه، فُقَهاء,faqih (exper in Islamic jurisprudence),faqih (expert in de islamitische rechtsgeleerdheid)
مُتَضَرِّر,damaged; injured; victim; plaintiff,beschadigd; gewond; slachtoffer; eiser
ثَمين,"costly; valuable, precious","kostbaar; waardevol, kostbaar"
اِنتِقاليّ,transitional,overgang
بَشَرة,"skin, epidermis","huid, opperhuid"
مُضاعَفة,"doubling, compounding","verdubbeling, samengestelde groei"
مُضاعَفات,complications,complicaties
طُلّابيّ,student-related,studentgerelateerd
فَاضٍ/الفاضي,"empty; unoccupied; available, free (not busy)","leeg; onbezet; beschikbaar, vrij (niet bezet)"
بَنزين,"gas, gasoline, petrol","gas, benzine, petroleum"
اِعتَزَمَ,"to be determined, be resolute (على to do something)","vastberaden zijn, standvastig zijn (على iets doen)"
زَهرة,flower; (figurative) splendor,bloem; (vijg) pracht
قَمْع,"oppression, repression","onderdrukking, repressie"
عَصريّ,"contemporary, modern","hedendaags, modern"
عُشْب,"(colloquial) grass, vegetation","(spreektaal) gras, vegetatie"
عُشبة، أعشاب,"herb, plant","kruid, plant"
جُرأة,"boldness, audacity, courage","durf, stoutmoedigheid, moed"
عَصير,juice,sap
أكثَرَ,"to do من something frequently, to do a lot of من something","iets vaak doen, veel doen"
وَحي,inspiration,inspiratie
حَزْم,"determination, resoluteness","vastberadenheid, standvastigheid"
إنتاجيّ,production-related; productive,productiegerelateerd; productief
إساءة,"insult, affront; (with following verbal noun) wrong, incorrect","belediging, affront; (met daaropvolgend werkwoordelijk zelfstandig naamwoord) fout, onjuist"
سَهُلَ، يَسهُلُ، السُّهولة,"to be easy, be convenient",Het moet gemakkelijk en handig zijn.
ريف,"country, countryside, rural area","platteland, landelijk gebied"
وَضعيّة,"situation, status; position","situatie, status; positie"
طاغية,"tyrant, despot, dictator","tiran, despoot, dictator"
سَرْد,"enumeration, listing; presentation, account","opsomming, lijst; presentatie, verslag"
تِلفاز,television,televisie
اِنتَصَرَ,"to be victorious, triumph (على over somebody/something)","Zegevieren, triomferen (على over iemand/iets)"
تَفادٍ/التَّفادي,"avoidance, avoiding","vermijding, vermijden"
مُستَوْطَنة; مُستَوْطَنات,settlement,schikking
عَقَلَ، يَعقِلُ، العَقْل,"to be reasonable, be sensible; to make sense, be conceivable","redelijk zijn, verstandig zijn; zinvol zijn, denkbaar zijn"
تَرسيخ,"consolidating, reinforcing, bolstering","consolideren, versterken, ondersteunen"
تَأليف,"authoring, compiling, composing; forming, constituting; publication, compilation, composition; formation, figuration","schrijven, samenstellen, componeren; vormen, constitueren; publicatie, compilatie, compositie; vorming, vormgeving"
خَشَبيّ,"wooden, made of wood","houten, gemaakt van hout"
رَكَضَ، يَركُضُ، الرَّكْض,"to run, race","rennen, racen"
أمَد,"period, duration, term; extent, range","periode, duur, termijn; omvang, bereik"
مُخّ,brain,brein
إيصال,"sending, transmitting; transporting, conveying","verzenden, overbrengen; vervoeren, transporteren"
أطلَسيّ,Atlantic; NATO-related,Atlantische Oceaan; NAVO-gerelateerd
مُتَشَدِّد,"extremist, fanatic; strict, intense","extremistisch, fanatiek; streng, intens"
نُفاية; نُفايات,"waste, refuse","afval, vuilnis"
لَعَنَ، يَلعَنُ، اللَّعْن,"to curse, damn somebody/something","vloeken, iemand/iets vervloeken"
الله يَلعَنْ على,God damn somebody,"Verdomme, die gast"
مُحتاج,"needy (person); wanting, needing إلى something","behoeftig (persoon); verlangend, iets nodig hebbend"
تَأَكَّدَ,to ascertain من something; to be confirmed,iets vaststellen; bevestigd worden
صَليب,"cross, crucifix","kruis, crucifix"
ثَمرة,"fruit; result, yield, outcome","vrucht; resultaat, opbrengst, uitkomst"
عَزْل,"removal, dismissal, distancing; isolation, separation","verwijdering, ontslag, afstand nemen; isolatie, scheiding"
مُستَقِرّ,"settled, at ease; stable, permanent","rustig, ontspannen; stabiel, permanent"
سُرور,"happiness; pleasure, delight","geluk; plezier, genot"
رَدّة,"echo, reverberation","echo, nagalm"
رَدّة فِعْل,reaction,reactie
رَمْزيّ,"symbolic; (data) encoded, encrypted","symbolisch; (gegevens) gecodeerd, versleuteld"
أُمّيّة,illiteracy,analfabetisme
وَصْل,"link; connection, contact; receipt","link; verbinding, contact; ontvangstbewijs"
وَصْفة,"description, portrayal; (medical) prescription; (food) recipe","beschrijving, weergave; (medisch) voorschrift; (voedsel) recept"
شَرِس,"vicious, savage, fierce","gemeen, wreed, fel"
عَريس,bridegroom,bruidegom
نُصرة,"help, assistance; support, backing","hulp, bijstand; steun, backing"
غَسيل,"washing; laundry, (dirty) clothes","wassen; wasgoed, (vuile) kleren"
عَصَفَ، يَعصِفُ، العَصْف,"to be stormy, be tempestuous; to rage (wind, conflict, crisis)","stormachtig zijn, onstuimig zijn; woeden (wind, conflict, crisis)"
مُدَمِّر,"destructive, destroying","destructief, vernietigend"
نَشيد,"anthem, hymn, song","volkslied, hymne, lied"
عَمَّن,from/about who/m,van/over wie/m
شَلَل,"paralysis, inertia","verlamming, inertie"
شَلَل الأطفال,polio,polio
